id,displayName,platform,handle,profileUrl,tags,personalizationNotes,recentContentHook,status,lastContactedAt,notes
tiktok_catwellnesscoach,Cat Wellness Coach,tiktok,catwellnesscoach,https://www.tiktok.com/@catwellnesscoach,"cat-wellness,nutrition",Cat wellness tips | Nutrition + behavior,,"not_contacted,,",,
tiktok_naturalpetdiet,Natural Pet Diet,tiktok,naturalpetdiet,https://www.tiktok.com/@naturalpetdiet,"natural-pet,diet",Natural pet diet tips | Fresh food recipes,,"not_contacted,,",,
tiktok_dognutritionbasics,Dog Nutrition Basics,tiktok,dognutritionbasics,https://www.tiktok.com/@dognutritionbasics,"dog-nutrition,evidence-based",Dog nutrition made simple | Evidence-based,,"not_contacted,,",,
tiktok_holisticpetcare101,Holistic Pet Care 101,tiktok,holisticpetcare101,https://www.tiktok.com/@holisticpetcare101,"holistic-pet,natural",Holistic pet care tips | Natural solutions,,"not_contacted,,",,
tiktok_petfooddecoded,Pet Food Decoded,tiktok,petfooddecoded,https://www.tiktok.com/@petfooddecoded,"pet-food,analysis",Decode pet food labels | Ingredient analysis,,"not_contacted,,",,
tiktok_rawfeedingfaq,Raw Feeding FAQ,tiktok,rawfeedingfaq,https://www.tiktok.com/@rawfeedingfaq,"raw-feeding,faq",Raw feeding FAQs | Beginner-friendly,,"not_contacted,,",,
tiktok_pet.nutritionist.tips,Pet Nutritionist Tips,tiktok,pet.nutritionist.tips,https://www.tiktok.com/@pet.nutritionist.tips,"pet-nutrition,evidence-based",Evidence-based pet nutrition tips | Vet-reviewed,,"not_contacted,,",,
instagram_ultimatepetnutrition,Ultimate Pet Nutrition,instagram,ultimatepetnutrition,https://www.instagram.com/ultimatepetnutrition/,"pet-supplements,nutrition,veterinary",Founded by Dr. Gary Richter + Rob Lowe | Pet supplements brand,,contacted,2026-01-06T04:26:10.353Z,
instagram_drpeterdobias,Dr. Peter Dobias,instagram,drpeterdobias,https://www.instagram.com/drpeterdobias/,"holistic,nutrition,supplements",Natural nutrition & drug-free healthcare | Sells natural supplements,,"not_contacted,,",,
instagram_johnnadevereaux,John N. Devereaux,instagram,johnnadevereaux,https://www.instagram.com/johnnadevereaux/,"pet-nutrition,clinical",Clinical Pet Nutritionist | Board-Certified CNS-Candidate,,"not_contacted,,",,
instagram_youmustluvdogs,You Must Luv Dogs,instagram,youmustluvdogs,https://www.instagram.com/youmustluvdogs/,"dogs,multi-pet","Dad to 3 dogs, 1 cat, 3 frogs | Sells @pawtree products",,"not_contacted,,",,
instagram_yamika.damani,Yamika Damani,instagram,yamika.damani,https://www.instagram.com/yamika.damani/,"canine-wellness,expertise",Canine well-being backed by Expertise | Evidence-based dog care,,"not_contacted,,",,
instagram_thelittlecarnivore,The Little Carnivore,instagram,thelittlecarnivore,https://www.instagram.com/thelittlecarnivore/,"cat-nutrition,raw-feeding",MSc Animal Nutrition '25 | Raw feeding + home-cooked cat meals,,"not_contacted,,",,
instagram_theholisticdoghealthcoach,The Holistic Dog Health Coach,instagram,theholisticdoghealthcoach,https://www.instagram.com/theholisticdoghealthcoach/,"holistic-dog,biome","Reclaim your dog's health with knowledge, love and action",,"not_contacted,,",,
instagram_ventresurpattes,Ventres Sur Pattes,instagram,ventresurpattes_,https://www.instagram.com/ventresurpattes_/,"animal-nutrition,french","Camille, ingénieur agronome spé nutrition animale",,"not_contacted,,",,
instagram_drloudon,Dr Loudon,instagram,drloudon,https://www.instagram.com/drloudon/,"vet,trainer,educator","ER VET / Dog Trainer | Educator: k9 health, nutrition and longevity",,"not_contacted,,",,
instagram_rawfeedingcommunity,Raw Feeding Community,instagram,rawfeedingcommunity,https://www.instagram.com/rawfeedingcommunity/,"raw-feeding,community","Raw feeding tips, recipes, community",,"not_contacted,,",,
instagram_caninenutritionspecialist,Canine Nutrition Specialist,instagram,caninenutritionspecialist,https://www.instagram.com/caninenutritionspecialist/,"canine-nutrition,plans",Canine Nutrition Specialist | Custom diet plans,,"not_contacted,,",,
instagram_felinenutrition,Feline Nutrition,instagram,felinenutrition,https://www.instagram.com/felinenutrition/,"cat-nutrition,specialist",Cat nutrition specialist | Species-appropriate diets,,"not_contacted,,",,
instagram_naturaldogkitchen,Natural Dog Kitchen,instagram,naturaldogkitchen,https://www.instagram.com/naturaldogkitchen/,"natural-dog,holistic",Natural dog food recipes | Holistic health,,"not_contacted,,",,
instagram_freshfeedingcommunity,Fresh Feeding Community,instagram,freshfeedingcommunity,https://www.instagram.com/freshfeedingcommunity/,"fresh-feeding,community",Fresh feeding tips | Community support,,"not_contacted,,",,
instagram_petdietitian,Pet Dietitian,instagram,petdietitian,https://www.instagram.com/petdietitian/,"pet-nutrition,dietitian",Registered Dietitian for Pets | Evidence-based nutrition,,"not_contacted,,",,
tiktok_adventuringwithnala,Adventuring with Nala,instagram,adventuringwithnala,https://www.instagram.com/adventuringwithnala/,"dog-adventures,supplements",Home of the Nala stomps | Chris and Nala | Supplements for doggos,,"not_contacted,,",,
tiktok_rawfeedingforbeginners,Raw Feeding For Beginners,tiktok,rawfeedingforbeginners,https://www.tiktok.com/@rawfeedingforbeginners,"raw-feeding,beginners",Raw feeding starter guide | Simple recipes,,"not_contacted,,",,
tiktok_holisticdogmom,Holistic Dog Mom,tiktok,holisticdogmom,https://www.tiktok.com/@holisticdogmom,"holistic-dog,fresh-food",Holistic dog health | Natural remedies | Fresh food,,"not_contacted,,",,
tiktok_freshfedpups,Fresh Fed Pups,tiktok,freshfedpups,https://www.tiktok.com/@freshfedpups,"fresh-feeding,results",Fresh feeding journey | Real results,,"not_contacted,,",,
tiktok_homemadedogfood101,Home Made Dog Food 101,tiktok,homemadedogfood101,https://www.tiktok.com/@homemadedogfood101,"homemade-dog,recipes",Homemade dog food recipes | Meal prep tips,,"not_contacted,,",,
tiktok_rawfedlife,Raw Fed Life,tiktok,rawfedlife,https://www.tiktok.com/@rawfedlife,"raw-feeding,lifestyle",Raw feeding lifestyle | Community support,,"not_contacted,,",,
tiktok_petfoodtruth,Pet Food Truth,tiktok,petfoodtruth,https://www.tiktok.com/@petfoodtruth,"pet-food,industry",Truth about pet food industry | Honest reviews,,"not_contacted,,",,
tiktok_naturaldoglife,Natural Dog Life,tiktok,naturaldoglife,https://www.tiktok.com/@naturaldoglife,"natural-dog,holistic",Natural dog lifestyle | Fresh food + holistic health,,"not_contacted,,",,
tiktok_petnutritioncoach,Certified Pet Nutrition Coach,tiktok,petnutritioncoach,https://www.tiktok.com/@petnutritioncoach,"pet-nutrition,certified",Certified Pet Nutrition Coach | Custom plans,,"not_contacted,,",,
tiktok_dogfoodrecipes,Dog Food Recipes,tiktok,dogfoodrecipes,https://www.tiktok.com/@dogfoodrecipes,"dog-food,recipes",Dog food recipes | Homemade + fresh,,"not_contacted,,",,
tiktok_petnutritionmadeeasy,Pet Nutrition Made Easy,tiktok,petnutritionmadeeasy,https://www.tiktok.com/@petnutritionmadeeasy,"pet-nutrition,simplified",Pet nutrition simplified | Practical tips,,"not_contacted,,",,
tiktok_freshfedcats,Fresh Fed Cats,tiktok,freshfedcats,https://www.tiktok.com/@freshfedcats,"fresh-feeding,cats",Fresh feeding for cats | Real results,,"not_contacted,,",,
tiktok_dognutritioncoach,Dog Nutrition Coach,tiktok,dognutritioncoach,https://www.tiktok.com/@dognutritioncoach,"dog-nutrition,evidence-based",Dog Nutrition Coach | Evidence-based plans,,"not_contacted,,",,
tiktok_holisticdogcare,Holistic Dog Care,tiktok,holisticdogcare,https://www.tiktok.com/@holisticdogcare,"holistic-dog,health",Holistic dog care | Natural health + nutrition,,"not_contacted,,",,
tiktok_petfoodreviews101,Pet Food Reviews 101,tiktok,petfoodreviews101,https://www.tiktok.com/@petfoodreviews101,"pet-food,reviews",Honest pet food reviews | What's really in it,,"not_contacted,,",,
youtube_vetranch,Vet Ranch,youtube,VetRanch,https://www.youtube.com/@VetRanch,"vet,rescue",Rescue + vet care | Real medical cases,,"not_contacted,,",,
youtube_helpfulvancouvervet,Helpful Vancouver Vet,youtube,HelpfulVancouverVet,https://www.youtube.com/@HelpfulVancouverVet,"vet,practical",Practical vet advice | Common health issues,,"not_contacted,,",,
youtube_ourpetshealth,Our Pets Health - Dr. Kristy Conn,youtube,OurPetsHealth,https://www.youtube.com/@OurPetsHealth,"vet,pet-health",Vet advice | Pet health + nutrition,,"not_contacted,,",,
youtube_dogstested,Dogs Tested,youtube,DogsTested,https://www.youtube.com/@DogsTested,"dogs,reviews",Dog gear reviews | Thorough testing,,"not_contacted,,",,
youtube_petsteacher,Pets Teacher,youtube,PetsTeacher,https://www.youtube.com/@PetsTeacher,"pet-care,education",Pet care education | Training + health,,"not_contacted,,",,
youtube_zakgeorge,Zak George's Dog Training Revolution,youtube,ZakGeorge,https://www.youtube.com/@ZakGeorge,"dogs,training",Dog training + behavior | Positive reinforcement,,"not_contacted,,",,
youtube_lifewithaspen,Life with Aspen,youtube,LifeWithAspen,https://www.youtube.com/@LifeWithAspen,"service-dog,dogs",Service dog journey | Training + care,,"not_contacted,,",,
youtube_kittenlady,Kitten Lady,youtube,KittenLady,https://www.youtube.com/@KittenLady,"cats,rescue",Kitten rescue + care | Foster tips,,"not_contacted,,",,
youtube_jacksongalaxy,Jackson Galaxy,youtube,JacksonGalaxy,https://www.youtube.com/@JacksonGalaxy,"cats,behavior",Cat behavior expert | Holistic cat care,,"not_contacted,,",,
youtube_allaboutcats,All About Cats,youtube,AllAboutCats,https://www.youtube.com/@AllAboutCats,"cats,education",Cat care education | Health + behavior,,"not_contacted,,",,
youtube_clintsreptiles,Clint's Reptiles,youtube,ClintsReptiles,https://www.youtube.com/@ClintsReptiles,"reptiles,education",Reptile education | Species guides,,"not_contacted,,",,
youtube_snakediscovery,Snake Discovery,youtube,SnakeDiscovery,https://www.youtube.com/@SnakeDiscovery,"reptiles,rescue",Reptile education + rescue | Breeding + care,,"not_contacted,,",,
youtube_goherping,GoHerping,youtube,GoHerping,https://www.youtube.com/@GoHerping,"reptiles,education",Reptile content | Care guides + vlogs,,"not_contacted,,",,
youtube_birdtricks,BirdTricks,youtube,BirdTricks,https://www.youtube.com/@BirdTricks,"birds,training",Bird training + care | Parrot education,,"not_contacted,,",,
youtube_elleandthebirds,Elle and the Birds,youtube,ElleandtheBirds,https://www.youtube.com/@ElleandtheBirds,"birds,care",Bird care + education | Beautiful content,,"not_contacted,,",,
youtube_lennonthebunny,Lennon the Bunny,youtube,LennonTheBunny,https://www.youtube.com/@LennonTheBunny,"rabbits,care",Bunny care + cute content | Rabbit tips,,"not_contacted,,",,
youtube_101rabbits,101Rabbits,youtube,101Rabbits,https://www.youtube.com/@101Rabbits,"rabbits,care",Rabbit care guides | Health + nutrition,,"not_contacted,,",,
youtube_victoriaraechel,Victoria Raechel,youtube,VictoriaRaechel,https://www.youtube.com/@VictoriaRaechel,"pocket-pets,education",Hamster care expert | Pocket pet guides,,"not_contacted,,",,
youtube_welcometochickenlandia,Welcome to Chickenlandia,youtube,WelcomeToChickenlandia,https://www.youtube.com/@WelcomeToChickenlandia,"chickens,care",Chicken care + homestead life | Flock tips,,"not_contacted,,",,
youtube_beckyshomestead,Becky's Homestead,youtube,BeckysHomestead,https://www.youtube.com/@BeckysHomestead,"homestead,multi-species",Homestead + multi-animal care | Self-sufficient living,,"not_contacted,,",,
youtube_prairiehomestead,Jill Winger - Prairie Homestead,youtube,PrairieHomestead,https://www.youtube.com/@PrairieHomestead,"homestead,multi-species",Homestead life + traditional skills,,"not_contacted,,",,
youtube_rachaelrayshow,Rachael Ray Show (pet segments),youtube,RachaelRayShow,https://www.youtube.com/@RachaelRayShow,"media,pets",Pet care on mainstream TV | Wide reach,,"not_contacted,,",,
youtube_thedogist,The Dogist,youtube,TheDogist,https://www.youtube.com/@TheDogist,"dogs,storytelling",Dog photography + storytelling,,"not_contacted,,",,
youtube_helpfulvancouvervet,Dr. Uri Burstyn - Helpful Vancouver Vet,youtube,HelpfulVancouverVet,https://www.youtube.com/@HelpfulVancouverVet,"vet,practical",Practical vet advice | How-to guides,,"not_contacted,,",,
youtube_veterinarysecrets,Veterinary Secrets,youtube,VeterinarySecrets,https://www.youtube.com/@VeterinarySecrets,"vet,natural",Vet tips + natural remedies | Dr. Andrew Jones,,"not_contacted,,",,
pinterest_thepioneerwoman,The Pioneer Woman,pinterest,thepioneerwoman,https://www.pinterest.com/thepioneerwoman/,"food,lifestyle",Food + lifestyle | Home cooking,,"not_contacted,,",,
pinterest_simplyrecipes,Simply Recipes,pinterest,simplyrecipes,https://www.pinterest.com/simplyrecipes/,"recipes,cooking","Simple, doable cooking | Trusted recipes",,"not_contacted,,",,
pinterest_funcheaporfree,Fun Cheap or Free,pinterest,funcheaporfree,https://www.pinterest.com/funcheaporfree/,"budget,living",Budget-friendly living | Money-saving tips,,"not_contacted,,",,
pinterest_ruffwear,Ruffwear,pinterest,ruffwear,https://www.pinterest.com/ruffwear/,"dogs,adventure",Adventure dog gear | Outdoor lifestyle,,"not_contacted,,",,
pinterest_chewy,Chewy,pinterest,chewy,https://www.pinterest.com/chewy/,"pets,retail",Pet supplies + care | Wide reach,,"not_contacted,,",,
pinterest_thesprucepets,The Spruce Pets,pinterest,thesprucepets,https://www.pinterest.com/thesprucepets/,"pet-care,guides",Pet care guides | Expert advice,,"not_contacted,,",,
pinterest_petmd,Pet MD,pinterest,petmd,https://www.pinterest.com/petmd/,"pet-health,info",Pet health info | Vet-reviewed,,"not_contacted,,",,
pinterest_dogsnaturally,Dogs Naturally Magazine,pinterest,dogsnaturally,https://www.pinterest.com/dogsnaturally/,"natural-dog,holistic",Natural dog health | Holistic care,,"not_contacted,,",,
pinterest_moderndogmagazine,Modern Dog Magazine,pinterest,moderndogmagazine,https://www.pinterest.com/moderndogmagazine/,"dog-lifestyle,care",Dog lifestyle + care | Magazine content,,"not_contacted,,",,
pinterest_catster,Catster,pinterest,catster,https://www.pinterest.com/catster/,"cat-care,lifestyle",Cat care + lifestyle | Magazine content,,"not_contacted,,",,
pinterest_dogster,Dogster,pinterest,dogster,https://www.pinterest.com/dogster/,"dog-care,lifestyle",Dog care + lifestyle | Magazine content,,"not_contacted,,",,
pinterest_iheartdogs,I Heart Dogs,pinterest,iheartdogs,https://www.pinterest.com/iheartdogs/,"dog-content,reviews",Dog content + product reviews | Heartwarming stories,,"not_contacted,,",,
pinterest_thehonestkitchen,The Honest Kitchen,pinterest,thehonestkitchen,https://www.pinterest.com/thehonestkitchen/,"human-grade,pet-food",Human-grade pet food | Dehydrated meals,,"not_contacted,,",,
pinterest_nomnomnow,Nom Nom,pinterest,nomnomnow,https://www.pinterest.com/nomnomnow/,"fresh-pet-food,delivery",Fresh pet food delivery | Custom recipes,,"not_contacted,,",,
pinterest_drmartypets,Dr. Marty Pets,pinterest,drmartypets,https://www.pinterest.com/drmartypets/,"dog-food,nature",Nature's Blend dog food | Freeze-dried meals,,"not_contacted,,",,
pinterest_stellaandchewys,Stella & Chewy's,pinterest,stellaandchewys,https://www.pinterest.com/stellaandchewys/,"freeze-dried,raw",Freeze-dried + raw pet food | Quality ingredients,,"not_contacted,,",,
pinterest_primalpetfoods,Primal Pet Foods,pinterest,primalpetfoods,https://www.pinterest.com/primalpetfoods/,"raw-pet-food,frozen",Raw pet food | Frozen + freeze-dried,,"not_contacted,,",,
pinterest_openfarm,Open Farm Pet,pinterest,openfarm,https://www.pinterest.com/openfarm/,"ethically-sourced,sustainability",Ethically sourced pet food | Sustainability,,"not_contacted,,",,
pinterest_spotandtango,Spot & Tango,pinterest,spotandtango,https://www.pinterest.com/spotandtango/,"fresh-dog-food,delivery",Fresh dog food delivery | Vet-designed meals,,"not_contacted,,",,
pinterest_olliepets,Ollie Pets,pinterest,olliepets,https://www.pinterest.com/olliepets/,"fresh-dog-food,human-grade",Fresh dog food delivery | Human-grade ingredients,,"not_contacted,,",,
pinterest_thefarmersdog,The Farmer's Dog,pinterest,thefarmersdog,https://www.pinterest.com/thefarmersdog/,"fresh-dog-food,personalized",Fresh dog food delivery | Personalized recipes,,"not_contacted,,",,
pinterest_justfoodfordogs,JustFoodForDogs,pinterest,justfoodfordogs,https://www.pinterest.com/justfoodfordogs/,"whole-food,ingredients",Whole food ingredients | Vet-developed recipes,,"not_contacted,,",,
pinterest_petplate,Pet Plate,pinterest,petplate,https://www.pinterest.com/petplate/,"fresh-dog-food,vets",Fresh dog food delivery | Vet-nutritionist recipes,,"not_contacted,,",,
pinterest_raisedrightpets,Raised Right Pets,pinterest,raisedrightpets,https://www.pinterest.com/raisedrightpets/,"human-grade,dog-food",Human-grade dog food | Cooked recipes,,"not_contacted,,",,
pinterest_sundaysfordogs,Sundays for Dogs,pinterest,sundaysfordogs,https://www.pinterest.com/sundaysfordogs/,"air-dried,dog-food",Air-dried dog food | Human-grade ingredients,,"not_contacted,,",,
